word,id
"“Potter,",4
"look,",4
Tower.,4
“See?”,4
word.,4
"walls,",4
imagine,4
line.,4
“Stop,4
horror,4
lines,4
“Hagrid!”,4
"“Hagrid,",4
"relief,",4
protect,4
music,4
Use,4
Percy.,4
"mad,",4
Erised,4
"Unfortunately,",4
moonlight,4
offered,4
wings,4
hot,4
invisible,4
won!,4
Her,4
more.,4
"yourself,",4
Headless,4
Flamel.,4
little.,4
Hat,4
"live,",4
Our,4
warn,4
Cauldron.,4
Ten,4
nervously,4
nervous.,4
"nervous,",4
nerves,4
"Ginny,",4
nerve,4
plump,4
mum,4
Stone.,4
Figg,4
"points,",4
Stone!,4
quietly.,4
"nearer,",4
Please,4
knew.,4
posts,4
September,4
Although,4
wiping,4
Angelina,4
“In,4
ways,4
"low,",4
"knees,",4
"were,",4
Oliver,4
neat,4
rude,4
Against,4
quills,4
"lot,",4
Gringotts.,4
Gryffindor.”,4
nodding,4
nodded.,4
nodded,4
“Keep,4
Gryffindor.,4
Cauldron,4
quicker,4
Frogs,4
"instead,",4
See,4
Once,4
right.,4
player,4
knight,4
"Norris,",4
watching.,4
jump,4
please,4
"hut,",4
"please,",4
"Gringotts,",4
quivering,4
Famous,4
Goyle.,4
Got,4
"repeated,",4
"match,",4
“Make,4
line,4
ripped,4
"owl,",4
us.,4
about.,4
"path,",4
lies,4
mistake.,4
wouldn’,4
it’ll,4
You’ll,4
recognized,4
whispering,4
worst,4
name!”,4
“Your,4
itself,4
yeh?”,4
pay,4
“Yer,4
own.,4
“Let’s,4
"“Yeah,",4
“Let,4
rounded,4
Sir,4
owlery,4
Is,4
usual.,4
scar.,4
peculiar,4
yeh’ll,4
pairs,4
“is,4
"window,",4
wrong.,4
pretending,4
"Flamel,",4
"Quidditch,",4
received,4
part,4
writing,4
Bertie,4
lent,4
Devil’s,4
school.”,4
Don’t,4
addressed,4
“First,4
Behind,4
"here,”",4
"muttered,",4
letter.,4
muttered.,4
“the,4
"well,”",4
"passed,",4
"yeah,",4
Dedalus,4
miss,4
realizing,4
"“Listen,",4
Dear,4
presents.,4
Very,4
higher,4
Inside,4
"Weasleys,",4
“Who,4
return,4
"home,",4
